scorer,,,BLB,BLB,BLB,BLB,BLB,BLB
bodyparts,,,LE,LE,RE,RE,M,M
coords,,,x,y,x,y,x,y
labeled-data,8_1_O5 - Made with Clipchamp_10f,0.jpg,841.0309931620975,584.0803271491219,783.3302750269861,611.4384262649075,769.1660567921363,566.2706523617851
labeled-data,8_1_O5 - Made with Clipchamp_10f,11.jpg,847.4974529531014,579.6035472938115,789.2993148340665,608.4539063613673,777.201336356685,549.9002042884239
labeled-data,8_1_O5 - Made with Clipchamp_10f,110.jpg,573.9164921553518,608.9513263452907,508.7544742613896,605.9668064417505,557.2697939196505,507.0321747879713
labeled-data,8_1_O5 - Made with Clipchamp_10f,121.jpg,538.5996732967922,596.018406763283,474.4324801906235,595.5209867793595,522.788999020051,497.7130410313228
labeled-data,8_1_O5 - Made with Clipchamp_10f,132.jpg,493.3344547597651,591.0442069240493,433.64404150890675,589.5519469722791,487.37629074478684,500.5087811583173
labeled-data,8_1_O5 - Made with Clipchamp_10f,143.jpg,464.48408051215597,594.0287268275895,400.31690258604067,591.5416269079726,447.3040155911984,500.5087811583173
labeled-data,8_1_O5 - Made with Clipchamp_10f,154.jpg,457.5202007372287,597.510666715053,388.87624295580304,598.0080866989764,426.8019213265717,497.7130410313228
labeled-data,8_1_O5 - Made with Clipchamp_10f,165.jpg,455.03310081761185,594.5261468115128,385.89172305226276,594.0287268275895,426.8019213265717,499.5768677826525
labeled-data,8_1_O5 - Made with Clipchamp_10f,176.jpg,454.5356808336885,586.0700070848154,387.8814029879562,586.0700070848154,437.052968458885,493.05347415299855
labeled-data,8_1_O5 - Made with Clipchamp_10f,22.jpg,848.9897129048716,577.1164473741946,792.7812547215301,605.9668064417505,776.2694229810202,548.968290912759
labeled-data,8_1_O5 - Made with Clipchamp_10f,33.jpg,846.5026129852547,576.1216074063478,786.8122149144497,605.4693864578271,788.3842968646632,551.7640310397535
labeled-data,8_1_O5 - Made with Clipchamp_10f,44.jpg,838.5439539626936,576.1216074063481,779.8483351395224,602.4848665542868,778.1332497323499,542.4448972831051
labeled-data,8_1_O5 - Made with Clipchamp_10f,55.jpg,825.1136143967626,573.6345074867311,762.9360860462343,599.5003466507466,771.6098561026959,537.7853304047808
labeled-data,8_1_O5 - Made with Clipchamp_10f,66.jpg,789.79673481799,565.1783677600338,727.6192671876746,585.0751671169686,746.448194959745,519.1470628914839
labeled-data,8_1_O5 - Made with Clipchamp_10f,77.jpg,737.5676365060356,552.2454481780259,676.8824288274903,564.1835277921869,709.171659933151,489.3258348702087
labeled-data,8_1_O5 - Made with Clipchamp_10f,88.jpg,676.385008843567,552.245448178026,614.7049308370686,569.1577276314206,662.5759911499086,469.75565398124684
labeled-data,8_1_O5 - Made with Clipchamp_10f,99.jpg,619.6791306763022,601.9874465703635,536.6099933610985,600.4951866185934,600.1378092002335,510.75982829063065
