scorer,,,BLB,BLB,BLB,BLB,BLB,BLB
bodyparts,,,LE,LE,RE,RE,M,M
coords,,,x,y,x,y,x,y
labeled-data,7_24_O9 - Made with Clipchamp_10f,0.jpg,1070.5402215671081,470.8614485708098,1086.457661052656,425.5962300337827,1129.2357796700662,474.8408084421968
labeled-data,7_24_O9 - Made with Clipchamp_10f,11.jpg,1053.4147258771154,451.8979888169361,1062.8910398388566,410.33142984838975,1118.241328206299,462.23578586610824
labeled-data,7_24_O9 - Made with Clipchamp_10f,110.jpg,1160.1461638155283,625.4007591406257,1187.583882576399,581.016214086276,1206.9516840546607,646.7860399395397
labeled-data,7_24_O9 - Made with Clipchamp_10f,121.jpg,1169.4265686905287,641.1370978417134,1193.2328246742252,610.471412167799,1203.723717141617,672.6097752438886
labeled-data,7_24_O9 - Made with Clipchamp_10f,132.jpg,1139.0349290652719,689.0300538963046,1189.2743474415327,657.6925949091319,1178.8285277791417,735.7875323851018
labeled-data,7_24_O9 - Made with Clipchamp_10f,143.jpg,1079.8802673203554,722.8528853728669,1136.7590140460559,699.9211045196473,1123.826094464048,769.5599022689198
labeled-data,7_24_O9 - Made with Clipchamp_10f,154.jpg,1113.3802748016572,717.8282239408887,1156.6558134029908,691.9623847768733,1145.7125737566766,771.5495822046133
labeled-data,7_24_O9 - Made with Clipchamp_10f,165.jpg,1143.7228938209832,665.1017056450111,1186.5010124383934,638.2410265131488,1186.5010124383934,711.3617641498848
labeled-data,7_24_O9 - Made with Clipchamp_10f,176.jpg,1152.1790335476805,671.0707454520916,1189.982952325857,640.7281264327657,1200.9261919721712,724.7921037158161
labeled-data,7_24_O9 - Made with Clipchamp_10f,187.jpg,1155.6609734351441,672.0655854199383,1193.962312197244,640.2307064488424,1211.372011634562,716.8333839730421
labeled-data,7_24_O9 - Made with Clipchamp_10f,198.jpg,1138.7486939817493,662.1171857414708,1175.0603528081558,626.3029468989879,1198.4390920525543,699.9211045196473
labeled-data,7_24_O9 - Made with Clipchamp_10f,209.jpg,1124.8209344318948,644.7074863041528,1160.1377532904544,608.8932474616697,1193.962312197244,682.5114050823292
labeled-data,7_24_O9 - Made with Clipchamp_10f,22.jpg,1076.60641425645,444.6670045390952,1081.775312781036,403.31581634240666,1128.2953995023108,429.16030896533704
labeled-data,7_24_O9 - Made with Clipchamp_10f,220.jpg,1109.8983349141936,640.2307064488424,1144.2203138049065,602.9242076545893,1180.0345526473895,671.0707454520916
labeled-data,7_24_O9 - Made with Clipchamp_10f,231.jpg,1103.4318751231897,639.733286464919,1130.292554255052,606.9035675259762,1164.6145331457649,668.0862255485513
