scorer,,,BLB,BLB,BLB,BLB,BLB,BLB
bodyparts,,,LE,LE,RE,RE,M,M
coords,,,x,y,x,y,x,y
labeled-data,7_24_O8 - Made with Clipchamp_10f,0.jpg,493.01035275719505,259.5400950003232,467.99360918110705,239.7687976579311,511.5711625071958,226.4534341416262
labeled-data,7_24_O8 - Made with Clipchamp_10f,11.jpg,494.2208403495864,261.154078456845,472.83555955067243,245.01424389162696,511.97465837132626,232.90936796771342
labeled-data,7_24_O8 - Made with Clipchamp_10f,110.jpg,499.8697824474127,274.46944197314986,480.90547683328145,250.66318598945327,509.957179050674,237.75131833727886
labeled-data,7_24_O8 - Made with Clipchamp_10f,121.jpg,498.25579899089087,272.4519626524976,478.8879975126292,247.03172321227925,512.7816500995872,234.11985556010478
labeled-data,7_24_O8 - Made with Clipchamp_10f,132.jpg,499.8697824474127,273.662450244889,480.90547683328145,247.83871494054011,511.97465837132626,236.5408307448875
labeled-data,7_24_O8 - Made with Clipchamp_10f,143.jpg,500.6767741756736,274.8729378372804,482.5194602898033,248.64570666880104,512.7816500995872,236.94432660901793
labeled-data,7_24_O8 - Made with Clipchamp_10f,154.jpg,503.09774936045625,274.8729378372804,481.7124685615424,248.24221080467058,512.7816500995872,239.36530179380065
labeled-data,7_24_O8 - Made with Clipchamp_10f,165.jpg,499.8697824474127,274.46944197314997,480.90547683328145,249.8561942611924,513.588641827848,237.75131833727886
labeled-data,7_24_O8 - Made with Clipchamp_10f,176.jpg,500.27327831154315,273.66245024488904,482.1159644256728,250.66318598945327,510.7641707789349,238.1548142014093
labeled-data,7_24_O8 - Made with Clipchamp_10f,187.jpg,503.90474108871723,275.6799295655413,482.1159644256728,251.4701777177142,510.36067491480446,238.1548142014093
labeled-data,7_24_O8 - Made with Clipchamp_10f,198.jpg,503.5012452245868,275.67992956554133,482.71432630681045,250.74190515857183,513.1851459637176,238.55831006553973
labeled-data,7_24_O8 - Made with Clipchamp_10f,209.jpg,505.518724545239,277.29391302206307,481.19875517221965,246.95887992372548,513.1851459637176,237.34782247314837
labeled-data,7_24_O8 - Made with Clipchamp_10f,22.jpg,495.43132794197777,260.7505825927146,474.4495430071943,247.03172321227925,507.93969973002174,234.52335142423522
labeled-data,7_24_O8 - Made with Clipchamp_10f,220.jpg,503.5012452245868,276.4869212938022,482.4741981036134,249.54322276944168,512.3781542354567,240.97928525032245
labeled-data,7_24_O8 - Made with Clipchamp_10f,231.jpg,504.30823695284766,277.29391302206307,482.07070223948296,250.5352339383034,511.5711625071958,241.78627697858337
labeled-data,7_24_O8 - Made with Clipchamp_10f,242.jpg,503.5012452245868,276.0834254296717,482.2970666125638,251.34608947814266,513.9921376919785,238.9618059296702
