scorer,,,BLB,BLB,BLB,BLB,BLB,BLB
bodyparts,,,LE,LE,RE,RE,M,M
coords,,,x,y,x,y,x,y
labeled-data,7_30_O8 - Made with Clipchamp_10f,0.jpg,293.5770440827407,533.9397148617214,277.52994912988277,492.89298796466136,292.58606045793397,501.0756571646892
labeled-data,7_30_O8 - Made with Clipchamp_10f,1001.jpg,289.28459287937204,519.8359466220815,280.1484032738917,475.54572926060234,302.4052634979674,495.8387488766714
labeled-data,7_30_O8 - Made with Clipchamp_10f,1012.jpg,289.897800194139,512.477458844878,279.8210965058906,470.9634345085868,305.3510244099776,494.85682857266835
labeled-data,7_30_O8 - Made with Clipchamp_10f,1023.jpg,290.51100750890595,503.8925564381407,279.4937897378895,463.43537884456117,306.66025148198196,493.874908268665
labeled-data,7_30_O8 - Made with Clipchamp_10f,1034.jpg,288.6713855646051,485.496336995132,278.51186943388615,445.4335265817198,308.6240920899887,485.03762553263493
labeled-data,7_30_O8 - Made with Clipchamp_10f,1045.jpg,290.51100750890595,465.8737029225895,283.0941641859017,427.1043475736574,313.20638684200424,470.30882097258484
labeled-data,7_30_O8 - Made with Clipchamp_10f,1056.jpg,279.47327584310074,443.18503227621216,277.52994912988277,403.8655670455783,313.5336936100054,465.3992194525681
labeled-data,7_30_O8 - Made with Clipchamp_10f,1067.jpg,280.69969047263464,438.8925810728435,279.4937897378895,398.30135198955935,309.93331916199315,456.8892434845391
labeled-data,7_30_O8 - Made with Clipchamp_10f,1078.jpg,282.53931241693556,426.62843477750437,279.82109650589064,388.1548421815249,309.93331916199315,435.94161033246786
labeled-data,7_30_O8 - Made with Clipchamp_10f,1089.jpg,286.2185563055373,413.75108116739835,284.0760844899051,374.4079579254781,310.26062592999426,423.5039531484255
labeled-data,7_30_O8 - Made with Clipchamp_10f,11.jpg,292.3506294532068,533.9397148617214,277.52994912988277,492.89298796466136,293.2406739939362,502.38488423669367
labeled-data,7_30_O8 - Made with Clipchamp_10f,110.jpg,290.51100750890595,530.8736782878866,279.4937897378895,488.3106932126458,300.44142288996073,496.82066918067477
labeled-data,7_30_O8 - Made with Clipchamp_10f,1100.jpg,293.5770440827407,397.8076909834575,289.3129927779229,359.67915336542796,315.8248409860132,406.4840012123676
labeled-data,7_30_O8 - Made with Clipchamp_10f,1111.jpg,300.3223245451772,386.76995931765236,294.54990106594073,348.8780300213913,322.3709763460355,389.4640492763097
labeled-data,7_30_O8 - Made with Clipchamp_10f,1122.jpg,301.54873917471116,375.73222765184715,295.20451460194295,336.44037283734895,323.35289665003876,371.4621970134681
