scorer,,,BLB,BLB,BLB,BLB,BLB,BLB
bodyparts,,,LE,LE,RE,RE,M,M
coords,,,x,y,x,y,x,y
labeled-data,8_11_O17 - Made with Clipchamp_10f,0.jpg,1038.9674273520363,437.8105529780374,1072.8051411654626,435.5348579082123,1037.6868508580742,497.21293936013984
labeled-data,8_11_O17 - Made with Clipchamp_10f,11.jpg,1038.9674273520363,440.3950022403304,1072.3743996217472,441.3498687483716,1039.1031135176,508.54304063634686
labeled-data,8_11_O17 - Made with Clipchamp_10f,110.jpg,339.7174003810052,442.9298545922389,370.05028630323704,423.4740946841781,432.9426736300724,473.1364741481999
labeled-data,8_11_O17 - Made with Clipchamp_10f,121.jpg,307.04776960015784,474.3765580176534,320.9457503196694,441.34986874837165,363.5458033133046,481.6340501053552
labeled-data,8_11_O17 - Made with Clipchamp_10f,132.jpg,312.2888868377269,493.06987616498316,327.8376150191175,456.8565643221299,381.95721788714087,505.71051531729506
labeled-data,8_11_O17 - Made with Clipchamp_10f,143.jpg,313.3898958479997,511.5666819992971,330.2066935095528,474.5169676144656,386.2060058657185,518.456879253028
labeled-data,8_11_O17 - Made with Clipchamp_10f,154.jpg,320.55770404310834,554.7040640219949,334.95920183515733,516.0818653978635,397.5361071419256,566.6098096769077
labeled-data,8_11_O17 - Made with Clipchamp_10f,165.jpg,322.43546826602534,611.9294616850099,337.3139289808587,573.3721518971743,404.6174204395549,616.1790027603133
labeled-data,8_11_O17 - Made with Clipchamp_10f,176.jpg,326.95825447503813,632.1743142396386,343.4691778031863,593.6535694141273,411.69873373718434,624.6765787174686
labeled-data,8_11_O17 - Made with Clipchamp_10f,187.jpg,345.9108823985204,662.7569638434395,358.1979823632364,624.7477123742332,428.6938856514948,660.0831452056154
labeled-data,8_11_O17 - Made with Clipchamp_10f,198.jpg,370.03240884658874,699.5853658311153,389.94673885934446,661.7333771583592,445.68903756580534,705.4035503104435
labeled-data,8_11_O17 - Made with Clipchamp_10f,209.jpg,370.46315039030424,720.4763307013175,390.9286591633478,683.6629306144338,444.2727749062794,722.3987022247541
labeled-data,8_11_O17 - Made with Clipchamp_10f,22.jpg,1040.0442812113251,449.0098331146405,1074.0973657966092,449.3185873071085,1040.5193761771259,521.2894045720797
labeled-data,8_11_O17 - Made with Clipchamp_10f,220.jpg,369.81703807473093,731.8909816097784,391.2559659313489,695.1186674944727,445.68903756580534,736.5613288200128
labeled-data,8_11_O17 - Made with Clipchamp_10f,231.jpg,373.0475996525972,746.3208233242478,392.7221011333188,708.0740857491597,449.937825544383,747.8914300962198
labeled-data,8_11_O17 - Made with Clipchamp_10f,242.jpg,375.4166781430325,757.0893619171354,397.6138105550499,719.9539514876496,449.937825544383,762.0540566914785
labeled-data,8_11_O17 - Made with Clipchamp_10f,253.jpg,385.3237336484893,779.0571806466264,406.87311767475535,740.918420437926,451.3540882039088,774.8004206272115
labeled-data,8_11_O17 - Made with Clipchamp_10f,33.jpg,1041.5518766143293,458.4861470763816,1075.8203319714712,459.2256428125651,1040.5193761771259,526.9544552101831
labeled-data,8_11_O17 - Made with Clipchamp_10f,44.jpg,1042.1979889299025,463.2243040572522,1077.1125566026178,463.7484290215779,1040.5193761771259,526.9544552101831
labeled-data,8_11_O17 - Made with Clipchamp_10f,55.jpg,1042.4133597017603,465.80875331954525,1076.6818150589022,465.90213674015547,1040.5193761771259,526.9544552101831
labeled-data,8_11_O17 - Made with Clipchamp_10f,66.jpg,1019.7994286566963,470.9776518441313,1055.7908501887002,469.778810633595,1041.9356388366518,532.6195058482867
labeled-data,8_11_O17 - Made with Clipchamp_10f,77.jpg,946.1425721005899,472.0545057034201,982.9955293007796,462.45620439043137,990.9501830937203,532.6195058482867
labeled-data,8_11_O17 - Made with Clipchamp_10f,88.jpg,808.9513904272011,475.7158088250019,844.081381452529,457.9334181814185,884.7304836292797,521.2894045720797
labeled-data,8_11_O17 - Made with Clipchamp_10f,99.jpg,602.8415617593316,483.469156611881,637.1100696972283,460.7332382155694,696.3675283018852,518.456879253028
