scorer,,,BLB,BLB,BLB,BLB,BLB,BLB
bodyparts,,,LE,LE,RE,RE,M,M
coords,,,x,y,x,y,x,y
labeled-data,8_11_O2 - Made with Clipchamp_10f,0.jpg,812.4834457961807,356.81202374065447,765.1900841821312,321.83794416928947,828.8041842776352,282.6689713772224
labeled-data,8_11_O2 - Made with Clipchamp_10f,11.jpg,810.9911858444107,354.3249238210376,762.2443232701211,316.92834264927274,834.0419874278109,275.68523384365466
labeled-data,8_11_O2 - Made with Clipchamp_10f,110.jpg,831.385405185269,935.3115105836991,765.8446977181334,920.8093495885472,813.0907748271077,825.6545646121128
labeled-data,8_11_O2 - Made with Clipchamp_10f,121.jpg,829.8931452334988,928.3476308087718,763.5535503421256,915.2451345325283,804.361102910148,829.1464333788967
labeled-data,8_11_O2 - Made with Clipchamp_10f,132.jpg,833.8725051048858,930.8347307283886,767.4812315581389,905.753238260496,827.0582498942431,823.908630228721
labeled-data,8_11_O2 - Made with Clipchamp_10f,143.jpg,815.9653856836443,915.9121312106874,753.7343473020921,898.2251825964704,823.5663811274594,825.6545646121128
labeled-data,8_11_O2 - Made with Clipchamp_10f,22.jpg,810.9911858444107,352.3352438853441,762.5716300381222,313.3279682012605,832.2960530444191,268.70149631008695
labeled-data,8_11_O2 - Made with Clipchamp_10f,33.jpg,810.9911858444107,351.3404039174973,762.5716300381222,313.98258173726276,830.550118661027,275.68523384365466
labeled-data,8_11_O2 - Made with Clipchamp_10f,44.jpg,818.4524856032613,356.3146037567311,768.4631518621422,320.20141032928393,832.2960530444191,279.1771026104385
labeled-data,8_11_O2 - Made with Clipchamp_10f,55.jpg,828.4008852817287,393.1236825670608,780.2461955101824,356.5324615774075,841.0257249613787,307.11205274470944
labeled-data,8_11_O2 - Made with Clipchamp_10f,66.jpg,855.7589843975144,521.9554735832681,798.5753745182446,495.31051123266,860.2310031786899,404.88437821465754
labeled-data,8_11_O2 - Made with Clipchamp_10f,77.jpg,867.6970640116754,787.577714638244,800.8665218942525,772.8666504976044,849.7553968783384,670.266404490231
labeled-data,8_11_O2 - Made with Clipchamp_10f,88.jpg,839.8415449119664,937.798610503316,772.7181398461565,920.482042820546,823.5663811274594,813.4330239283694
labeled-data,8_11_O2 - Made with Clipchamp_10f,99.jpg,836.857025008426,933.3218306480056,765.5173909501323,915.8997480685305,832.2960530444191,806.4492863948017
